# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
1.19999040008e-06 	k                 	1.4999879966e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999995582e-02	(-3.8125000000e+00 1.4710107049e+01 2.0000000000e-01)	12
1.19999040008e-06 	epsilon           	3.6813298001e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9998465038e-02	(-1.8505527287e-02 2.4290854664e+00 3.1340409090e+00)	1
2.63996505619e-06 	k                 	1.4999735889e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999990281e-02	(-1.4375000000e+00 2.6440525856e+01 2.0000000000e-01)	12
2.63996505619e-06 	epsilon           	3.6813278486e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9996623133e-02	(-1.8505527287e-02 2.4290854664e+00 3.1340409090e+00)	1
4.36794459704e-06 	k                 	1.4999562885e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999983920e-02	(2.8087126866e+01 1.7463075574e+01 2.0000000000e-01)	12
4.36794459704e-06 	epsilon           	3.6813255068e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9994412895e-02	(-1.8505527287e-02 2.4290854664e+00 3.1340409090e+00)	1
6.44150571252e-06 	k                 	1.4999355033e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999976287e-02	(4.1185761962e+01 5.3125000000e+00 2.0000000000e-01)	18
6.44150571252e-06 	epsilon           	3.6813226967e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9991760721e-02	(-1.8505527287e-02 2.4290854664e+00 3.1340409090e+00)	1
8.92973776977e-06 	k                 	1.4999105116e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999967127e-02	(4.1185761962e+01 5.3125000000e+00 2.0000000000e-01)	18
8.92973776977e-06 	epsilon           	3.6813193246e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9988578301e-02	(-1.8505527287e-02 2.4290854664e+00 3.1340409090e+00)	1
1.19155270705e-05 	k                 	1.4998804258e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999956135e-02	(3.9238158557e+01 3.6000000000e+00 2.0000000000e-01)	18
1.19155270705e-05 	epsilon           	3.6813152782e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9984759708e-02	(-1.8505527287e-02 2.4290854664e+00 3.1340409090e+00)	1
1.54983886296e-05 	k                 	1.4998441421e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999942945e-02	(4.1185761962e+01 5.3125000000e+00 2.0000000000e-01)	18
1.54983886296e-05 	epsilon           	3.6813104227e-03	(1.6323913226e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9980182737e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
1.97977608653e-05 	k                 	1.4998002677e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999927118e-02	(4.1185761962e+01 5.3125000000e+00 2.0000000000e-01)	18
1.97977608653e-05 	epsilon           	3.6813045961e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9974699209e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
2.49567412781e-05 	k                 	1.4997470128e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999908126e-02	(2.4431905801e+01 2.7508644738e+01 2.0000000000e-01)	12
2.49567412781e-05 	epsilon           	3.6812976045e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9968132178e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
3.11471343486e-05 	k                 	1.4996820170e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999885337e-02	(2.4431905801e+01 2.7508644738e+01 2.0000000000e-01)	12
3.11471343486e-05 	epsilon           	3.6812892152e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9960275121e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
3.8575237941e-05  	k                 	1.4996020746e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999857991e-02	(2.4431905801e+01 2.7508644738e+01 2.0000000000e-01)	12
3.8575237941e-05  	epsilon           	3.6812791485e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9950887604e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
4.74889622518e-05 	k                 	1.4995026859e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999825177e-02	(2.4431905801e+01 2.7508644738e+01 2.0000000000e-01)	12
4.74889622518e-05 	epsilon           	3.6812670684e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9939693785e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
5.81854314247e-05 	k                 	1.4993773250e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999785800e-02	(2.4431905801e+01 2.7508644738e+01 2.0000000000e-01)	12
5.81854314247e-05 	epsilon           	3.6812525723e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9926385847e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
7.10206446266e-05 	k                 	1.4992162086e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999738549e-02	(2.4431905801e+01 2.7508644738e+01 2.0000000000e-01)	12
7.10206446266e-05 	epsilon           	3.6812351778e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9910634187e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
